hero_id,hero_ja,role,sub_role,hanzo_comp_stats.threat_hanzo,hanzo_comp_stats.sonic_arrow_value,hanzo_comp_stats.storm_arrows_value,hanzo_comp_stats.lunge_wall_climb_value,hanzo_comp_stats.dragonstrike_denial,hanzo_comp_stats.sightline_value,hanzo_comp_stats.matchup_rating,hanzo_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonstrike_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.target_priority,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.reason,key_enemy_skills.hack_cast_start,key_enemy_skills.hack_confirmed_unavailable,key_enemy_skills.hack_confirmed_available,cross_target_recalibration,torbjorn_reassessment_note,hanzo_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.mirror_matchup,cross_target_recalibration.diff_points
Reaper,リーパー,ダメージ,フランカー,9,9,8,9,5,5,4,8,"[""mobility_threat"", ""cross_target_recalibrated_v41""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""シャドウ・ステップ"", ""レイス・フォーム""]","[""レイス・フォーム"", ""デス・ブロッサム"", ""シャドウ・ステップ""]",リーパーを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,シャドウ・ステップ、味方後衛へ仕掛けた瞬間,龍撃波はリーパーを直接狙うより、逃げ道やサポートの射線を切るために使う。,,リーパーは近づかれると最も危険。ハンゾーは鳴響矢水で側面ルートを先に見て、接近後は電光石火で短く迎撃する。,リーパーは近づかれると最も危険。ハンゾーは鳴響矢水で側面ルートを先に見て、接近後は電光石火で短く迎撃する。,v41,9,4,索敵・接近迎撃,リーパーは近づかれると最も危険。ハンゾーは鳴響矢水で側面ルートを先に見て、接近後は電光石火で短く迎撃する。,,,,,,,,,,
Vendetta,ヴェンデッタ,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ワールウィンド"", ""ソアリング・スライス"", ""ウォーディング・スタンス""]","[""ウォーディング・スタンス"", ""サンダリング・ブレード"", ""ソアリング・スライス""]",ヴェンデッタを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,ワールウィンド、味方後衛へ仕掛けた瞬間,龍撃波はヴェンデッタを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Ana,アナ,サポート,タクティシャン,7,6,5,5,5,9,6,7,"[""long_sightline_duel"", ""support_pick_value""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]",アナとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はアナの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Illari,イラリー,サポート,サバイバー,7,7,5,5,8,9,7,9,"[""long_sightline_duel"", ""save_or_sustain_check"", ""support_pick_value""]","[""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト""]","[""キャプティブ・サン"", ""アウトバースト""]",イラリーとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はイラリーの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Wuyang,ウーヤン,サポート,サバイバー,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""飛流歩"", ""守衛波浪""]","[""玄武之杖"", ""驚濤破"", ""飛流歩""]","[""守衛波浪"", ""飛流歩""]",ウーヤンは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,玄武之杖、回復対象を見るために姿を出した瞬間,龍撃波はウーヤンの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Kiriko,キリコ,サポート,メディック,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""神出鬼没"", ""鈴のご加護"", ""狐走り""]","[""神出鬼没後"", ""鈴のご加護後""]","[""鈴のご加護"", ""狐走り""]",キリコは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,神出鬼没後、回復対象を見るために姿を出した瞬間,龍撃波はキリコの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,10,8,6,7,5,7,4,9,"[""air_pressure"", ""support_pick_value""]","[""ワイルド・フライト"", ""キャットナッパー""]","[""キャットナッパー"", ""ワイルド・フライト""]","[""キャットナッパー""]",ジェットパック・キャットを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のジェットパック・キャットへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Juno,ジュノ,サポート,サバイバー,10,8,6,7,5,7,4,9,"[""air_pressure"", ""support_pick_value""]","[""グライド・ブースト"", ""オービタル・レイ""]","[""パルサー・トーピード"", ""ハイパーリング"", ""グライド・ブースト""]","[""オービタル・レイ"", ""グライド・ブースト""]",ジュノを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のジュノへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Zenyatta,ゼニヤッタ,サポート,タクティシャン,7,7,5,5,8,9,7,9,"[""long_sightline_duel"", ""save_or_sustain_check"", ""support_pick_value""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ""]","[""不和のオーブ"", ""心頭滅却""]",ゼニヤッタとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はゼニヤッタの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Baptiste,バティスト,サポート,タクティシャン,7,7,5,5,8,9,7,9,"[""long_sightline_duel"", ""save_or_sustain_check"", ""support_pick_value""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", ""アンプリフィケーション・マトリックス""]","[""イモータリティ・フィールド後"", ""リジェネ・バースト後""]","[""イモータリティ・フィールド""]",バティストとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はバティストの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Brigitte,ブリギッテ,サポート,サバイバー,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]","[""ラリー""]",ブリギッテは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,シールド・バッシュ、回復対象を見るために姿を出した瞬間,龍撃波はブリギッテの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Mercy,マーシー,サポート,メディック,10,9,6,7,8,7,5,10,"[""air_pressure"", ""save_or_sustain_check"", ""support_pick_value""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""ガーディアン・エンジェル""]",マーシーを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のマーシーへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Mizuki,ミズキ,サポート,サバイバー,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""呪縛"", ""形代"", ""霊域結界""]","[""霊域結界"", ""癒しの波動"", ""形代""]",ミズキは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,呪縛、回復対象を見るために姿を出した瞬間,龍撃波はミズキの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Moira,モイラ,サポート,メディック,5,5,5,5,5,6,6,7,"[""support_pick_value""]","[""フェード"", ""コアレッセンス""]","[""バイオティック・オーブ"", ""フェード""]","[""フェード"", ""コアレッセンス""]",モイラは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,バイオティック・オーブ、回復対象を見るために姿を出した瞬間,龍撃波はモイラの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Lifeweaver,ライフウィーバー,サポート,メディック,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""ライフグリップ"", ""命の樹"", ""ペタル・プラットフォーム""]",ライフウィーバーは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,ペタル・プラットフォーム、回復対象を見るために姿を出した瞬間,龍撃波はライフウィーバーの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
Lúcio,ルシオ,サポート,タクティシャン,5,6,5,5,8,6,7,9,"[""save_or_sustain_check"", ""support_pick_value""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""ウォール・ライド""]","[""ウォール・ライド""]",ルシオは先に倒し切るより、鳴響矢水で位置を味方に知らせて防御・救助・移動スキルを使わせる。使わせた後に嵐ノ弓か電光石火で同じ位置を再度狙う。,サウンドウェーブ、回復対象を見るために姿を出した瞬間,龍撃波はルシオの防御・救助・移動スキル確認後に使う。未確認なら撃破目的ではなく、分断と退路封鎖として使う。,,,,,,,,,,,,,,,,,,
